Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
"Body Piercings, Minor",faint transmutation,3,body,"1,800 gp",-,"These piercings come in the form of grotesque spikes and needles that cover every inch of the wearer's skin.  Minor: The wearer gains a +2 competence bonus to CMD against grappling attempts.  Major: Any creature attacking the wearer with a natural or unarmed attack must succeed at a DC 15 Reflex save or take 1d4 points of damage.  Greater: The wearer is considered to have +1 armor spikes when not wearing armor or bulky clothing, and is considered proficient with armor spikes.","Craft Shadow Piercing, Improved Grapple, magic weapon",900 gp,Shadow Piercing,Champions Of Corruption,faint,0,1800,900,,,3594
"Body Piercings, Major",faint transmutation,3,body,"2,400  gp",-,"These piercings come in the form of grotesque spikes and needles that cover every inch of the wearer's skin.  Minor: The wearer gains a +2 competence bonus to CMD against grappling attempts.  Major: Any creature attacking the wearer with a natural or unarmed attack must succeed at a DC 15 Reflex save or take 1d4 points of damage.  Greater: The wearer is considered to have +1 armor spikes when not wearing armor or bulky clothing, and is considered proficient with armor spikes.","Craft Shadow Piercing, Improved Grapple, magic weapon","1,200 gp",Shadow Piercing,Champions Of Corruption,faint,0,2400,1200,,,3595
"Body Piercings, Greater",faint transmutation,3,body,"3,200  gp",-,"These piercings come in the form of grotesque spikes and needles that cover every inch of the wearer's skin.  Minor: The wearer gains a +2 competence bonus to CMD against grappling attempts.  Major: Any creature attacking the wearer with a natural or unarmed attack must succeed at a DC 15 Reflex save or take 1d4 points of damage.  Greater: The wearer is considered to have +1 armor spikes when not wearing armor or bulky clothing, and is considered proficient with armor spikes.","Craft Shadow Piercing, Improved Grapple, magic weapon","1,600 gp",Shadow Piercing,Champions Of Corruption,faint,0,3200,1600,,,3596
"Chest Piercings, Minor",faint transmutation,3,body,"2,200 gp",-,"These excruciating body ornaments come in the form of sharp barbs and serrated rings inserted in the nipples, abdomen, or along the ribs. The pain they cause sharpens the mind and blocks out distractions.  Minor: The wearer gains a +2 profane bonus on saves against effects that cause the dazed, nauseated, and sickened conditions.  Major: The wearer gains a +5 competence bonus on concentration checks.  Greater: The wearer gains a +4 profane bonus on saving throws against effects that deal ability damage or drain.","Craft Shadow Piercing, bear's endurance","1,100 gp",Shadow Piercing,Champions Of Corruption,faint,0,2200,1100,,,3597
"Chest Piercings, Greater",faint transmutation,3,body,"5,750 gp",-,"These excruciating body ornaments come in the form of sharp barbs and serrated rings inserted in the nipples, abdomen, or along the ribs. The pain they cause sharpens the mind and blocks out distractions.  Minor: The wearer gains a +2 profane bonus on saves against effects that cause the dazed, nauseated, and sickened conditions.  Major: The wearer gains a +5 competence bonus on concentration checks.  Greater: The wearer gains a +4 profane bonus on saving throws against effects that deal ability damage or drain.","Craft Shadow Piercing, bear's endurance","2,875 gp",Shadow Piercing,Champions Of Corruption,faint,0,5750,2875,,,3598
"Chest Piercings, Major",faint transmutation,3,body,"3,750 gp",-,"These excruciating body ornaments come in the form of sharp barbs and serrated rings inserted in the nipples, abdomen, or along the ribs. The pain they cause sharpens the mind and blocks out distractions.  Minor: The wearer gains a +2 profane bonus on saves against effects that cause the dazed, nauseated, and sickened conditions.  Major: The wearer gains a +5 competence bonus on concentration checks.  Greater: The wearer gains a +4 profane bonus on saving throws against effects that deal ability damage or drain.","Craft Shadow Piercing, fox's cunning","1,875 gp",Shadow Piercing,Champions Of Corruption,faint,0,3750,1875,,,3599
"Eye Piercings, Minor",faint transmutation,5,eye,"6,000 gp",-,"These piercings may penetrate the eyebrow, eyelid, or the eye itself. Due to magical, they do not impair the owner's vision. All effects from an eye piercing are continuous.  Minor: The wearer gains low-light vision. If the wearer already has low-light vision, the ability's range is doubled.  Major: The wearer gains darkvision to 60 feet.  Greater: The wearer gains the see in darkness special ability.","Craft Shadow Piercing, keen sensesAPG","3,000 gp",Shadow Piercing,Champions Of Corruption,faint,0,6000,3000,,,3600
"Eye Piercings, Major",faint transmutation,5,eye,"18,000 gp",-,"These piercings may penetrate the eyebrow, eyelid, or the eye itself. Due to magical, they do not impair the owner's vision. All effects from an eye piercing are continuous.  Minor: The wearer gains low-light vision. If the wearer already has low-light vision, the ability's range is doubled.  Major: The wearer gains darkvision to 60 feet.  Greater: The wearer gains the see in darkness special ability.","Craft Shadow Piercing, darkvision","9,000 gp",Shadow Piercing,Champions Of Corruption,faint,0,18000,9000,,,3601
"Eye Piercings, Greater",faint transmutation,5,eye,"32,000 gp",-,"These piercings may penetrate the eyebrow, eyelid, or the eye itself. Due to magical, they do not impair the owner's vision. All effects from an eye piercing are continuous.  Minor: The wearer gains low-light vision. If the wearer already has low-light vision, the ability's range is doubled.  Major: The wearer gains darkvision to 60 feet.  Greater: The wearer gains the see in darkness special ability.","Craft Shadow Piercing, darkvision","16,000 gp",Shadow Piercing,Champions Of Corruption,faint,0,32000,16000,,,3602
"Head Piercings, Minor",faint transmutation,5,head,"3,750 gp",-,"Whether they are crowns of pins, pinned-back lips, or simple nose rings, these piercings accentuate the owner's terrifying presence and inner resolve.  Minor: The wearer gains a +5 competence bonus on Intimidate checks.   Major: The wearer gains a +4 profane bonus against mind-affecting effects.  Greater: The wearer can use fear twice per day (Will DC 16).","Craft Shadow Piercing, fear","1,875 gp",Shadow Piercing,Champions Of Corruption,faint,0,3750,1875,,,3603
"Head Piercings, Greater",faint transmutation,5,head,"33,600 gp",-,"Whether they are crowns of pins, pinned-back lips, or simple nose rings, these piercings accentuate the owner's terrifying presence and inner resolve.  Minor: The wearer gains a +5 competence bonus on Intimidate checks.   Major: The wearer gains a +4 profane bonus against mind-affecting effects.  Greater: The wearer can use fear twice per day (Will DC 16).","Craft Shadow Piercing, fear","16,800 gp",Shadow Piercing,Champions Of Corruption,faint,0,33600,16800,,,3604
"Head Piercings, Major",faint transmutation,5,head,"6,000 gp",-,"Whether they are crowns of pins, pinned-back lips, or simple nose rings, these piercings accentuate the owner's terrifying presence and inner resolve.  Minor: The wearer gains a +5 competence bonus on Intimidate checks.   Major: The wearer gains a +4 profane bonus against mind-affecting effects.  Greater: The wearer can use fear twice per day (Will DC 16).","Craft Shadow Piercing, owl's wisdom","3,000 gp",Shadow Piercing,Champions Of Corruption,faint,0,6000,3000,,,3605
"Suspension Piercings, Minor",faint transmutation,7,belt or shoulder,"6,000 gp",-,"These piercings are popular among suspensionists, who hang from hooks attached to their skin.  Minor: The wearer gains feather fall as a continuous effect.  Major: The wearer may use levitate twice per day.  Greater: The wearer may use air walk once per day.","Craft Shadow Piercing, feather fall","3,000 gp",Shadow Piercing,Champions Of Corruption,faint,0,6000,3000,,,3606
"Suspension Piercings, Major",faint transmutation,7,belt or shoulder,"7,200 gp",-,"These piercings are popular among suspensionists, who hang from hooks attached to their skin.  Minor: The wearer gains feather fall as a continuous effect.  Major: The wearer may use levitate twice per day.  Greater: The wearer may use air walk once per day.","Craft Shadow Piercing, levitate","3,600 gp",Shadow Piercing,Champions Of Corruption,faint,0,7200,3600,,,3607
"Suspension Piercings, Greater",moderate  transmutation,7,belt or shoulder,"11,200 gp",-,"These piercings are popular among suspensionists, who hang from hooks attached to their skin.  Minor: The wearer gains feather fall as a continuous effect.  Major: The wearer may use levitate twice per day.  Greater: The wearer may use air walk once per day.","Craft Shadow Piercing, air walk","5,600 gp",Shadow Piercing,Champions Of Corruption,moderate,0,11200,5600,,,3608
